_id,EmpID,FirstName,LastName,Title,Supervisor,ADEmail,PayZone,EmployeeClassificationType,DepartmentType,DOB,State,GenderCode,Performance Score,Current Employee Rating,password
64f809ed579803c711d60bad,3427,Uriah,Bridges,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,Zone C,Temporary,Production       ,07-10-1969,MA,Female,Fully Meets,4,123456
64f809ed579803c711d60bae,3428,Paula,Small,Production Technician I,Renee Mccormick,paula.small@bilearner.com,Zone A,Part-Time,Production       ,30-08-1965,MA,Male,Fully Meets,3,123456
64f809ed579803c711d60baf,3429,Edward,Buck,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,Zone B,Part-Time,Sales,06-10-1991,MA,Male,Fully Meets,4,123456
64f809ed579803c711d60bb0,3430,Michael,Riordan,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,Zone A,Full-Time,Sales,04-04-1998,ND,Male,Fully Meets,2,123456
64f809ed579803c711d60bb1,3431,Jasmine,Onque,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,Zone A,Temporary,Sales,29-08-1969,FL,Female,Fully Meets,3,123456
64f809ed579803c711d60bb2,3432,Maruk,Fraval,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,Zone B,Full-Time,Sales,03-04-1949,CT,Male,Fully Meets,3,123456
64f809ed579803c711d60bb3,3433,Latia,Costa,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,Zone B,Temporary,Sales,01-07-1942,CA,Female,Exceeds,4,123456
64f809ed579803c711d60bb4,3434,Sharlene,Terry,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,Zone C,Full-Time,Sales,07-03-1957,OR,Female,Fully Meets,2,123456
64f809ed579803c711d60bb5,3435,Jac,McKinzie,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,Zone B,Part-Time,Sales,15-05-1974,TX,Male,Exceeds,3,123456
64f809ed579803c711d60bb6,3436,Joseph,Martins,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,Zone B,Temporary,Sales,11-11-1949,TX,Male,Fully Meets,5,123456
